name,abbrev,formula,a0,n,v0,k00,k0p,theta0,gamma0,q,refS,T_r,V_r
Forsterite,Fo,Mg(2)Si(1)O(4),-2055403.0,7,4.3603,1279555,4.21796,809.1703,0.99282,2.10672,0.00,300,4.3603
Fayalite,Fa,Fe(2)Si(1)O(4),-1370519.0,7,4.6290,1349622,4.21796,618.7007,1.06023,3.64660,0.00,300,4.6290
MgWadsleyite,MgWad,Mg(2)Si(1)O(4),-2027837.0,7,4.0515,1686948,4.32290,843.4973,1.20610,2.01880,0.00,300,4.0515
FeWadsleyite,FeWad,Fe(2)Si(1)O(4),-1364668.0,7,4.2800,1685910,4.32290,665.4492,1.20610,2.01880,0.00,300,4.2800
MgRingwoodite,MgRi,Mg(2)Si(1)O(4),-2017557.0,7,3.9493,1849009,4.22035,877.7094,1.10791,2.39140,0.00,300,3.9493
FeRingwoodite,FeRi,Fe(2)Si(1)O(4),-1362772.0,7,4.1860,2134120,4.22035,677.7177,1.27193,2.39140,0.00,300,4.1860
MgPerovskite,MgPv,Mg(1)Si(1)O(3),-1368283.0,5,2.4445,2505264,4.14000,905.9412,1.56508,1.10945,0.00,300,2.4445
Periclase,Pe,Mg(1)O(1),-569444.6,2,1.1244,1613836,3.84045,767.0977,1.36127,1.72170,0.00,300,1.1244
FePerovskite,FePv,Fe(1)Si(1)O(3),-1040920.0,5,2.5485,2721152,4.14000,870.8122,1.56508,1.10945,0.00,300,2.5485
Wuestite,Wu,Fe(1)O(1),-242146.0,2,1.2264,1794442,4.93760,454.1592,1.53047,1.72170,0.00,300,1.2264
