name, formula, a0, n, v0, k00, k0p, theta0, gamma0, q, refS, T_r, V_r, TC0, VD, SD
Anorthite, Ca(1)Al(2)Si(2)O(8), -4014619.0, 13.0, 10.061, 840891.5, 4.0, 752.3911, 0.39241, 1.0, 0.0, 300.0, 10.061, , , 
Albite, Na(1)Al(1)Si(3)O(8), -3718799.0, 13.0, 10.045200000000001, 597616.2, 4.0, 713.7824, 0.56704, 1.0, 0.0, 300.0, 10.045200000000001, , , 
MgSpinel, Mg(4)Al(8)O(16), -8667568.0, 28.0, 15.904800000000002, 1969428.0, 5.68282, 842.8104, 1.02283, 2.71208, 0.0, 300.0, 15.904800000000002, , , 
Hercynite, Fe(4)Al(8)O(16), -7324009.0, 28.0, 16.337200000000003, 2088965.0, 5.68282, 763.231, 1.21719, 2.71208, 0.0, 300.0, 16.337200000000003, , , 
Enstatite, Mg(2)Si(2)O(6), -2913596.0, 10.0, 6.267600000000001, 1070768.0, 7.02751, 812.1848, 0.78479, 3.43846, 0.0, 300.0, 6.267600000000001, , , 
Ferrosilite, Fe(2)Si(2)O(6), -2225718.0, 10.0, 6.594100000000001, 1005386.0, 7.02751, 674.4769, 0.71889, 3.43846, 0.0, 300.0, 6.594100000000001, , , 
MgTschermaks, Mg(1)Al(2)Si(1)O(6), -3002470.0, 10.0, 5.914000000000001, 1070768.0, 7.02751, 783.8404, 0.78479, 3.43846, 0.0, 300.0, 5.914000000000001, , , 
OrthoDiopside, Ca(1)Mg(1)Si(2)O(6), -3015827.0, 10.0, 6.805400000000001, 1070768.0, 7.02751, 744.6988, 0.78479, 3.43846, 0.0, 300.0, 6.805400000000001, , , 
Diopside, Ca(1)Mg(1)Si(2)O(6), -3029531.0, 10.0, 6.6039, 1122413.0, 5.23885, 781.6146, 0.95873, 1.52852, 0.0, 300.0, 6.6039, , , 
Hedenbergite, Ca(1)Fe(1)Si(2)O(6), -2677330.0, 10.0, 6.786700000000001, 1192555.0, 5.23885, 701.5851, 0.93516, 1.52852, 0.0, 300.0, 6.786700000000001, , , 
Clinoenstatite, Mg(2)Si(2)O(6), -2905918.0, 10.0, 6.25, 1122413.0, 5.23885, 805.0547, 0.95873, 1.52852, 0.0, 300.0, 6.25, , , 
CaTschermaks, Ca(1)Al(2)Si(1)O(6), -3120253.0, 10.0, 6.3574, 1122413.0, 5.23885, 803.6626, 0.78126, 1.52852, 0.0, 300.0, 6.3574, , , 
Jadeite, Na(1)Al(1)Si(2)O(6), -2855192.0, 10.0, 6.050800000000001, 1422872.9999999998, 5.23885, 820.7623, 0.903, 0.39234, 0.0, 300.0, 6.050800000000001, , , 
Pyrope, Mg(3)Al(2)Si(3)O(12), -5936538.0, 20.0, 11.308, 1702396.0, 4.11067, 823.2102, 1.01424, 1.42169, 0.0, 300.0, 11.308, , , 
Almandine, Fe(3)Al(2)Si(3)O(12), -4935516.0, 20.0, 11.543000000000001, 1738963.0, 4.91341, 741.356, 1.06495, 1.42169, 0.0, 300.0, 11.543000000000001, , , 
Grossular, Ca(3)Al(2)Si(3)O(12), -6277935.0, 20.0, 12.512, 1670622.0, 3.91544, 822.743, 1.05404, 1.88887, 0.0, 300.0, 12.512, , , 
MgMajorite, Mg(4)Si(4)O(12), -5691614.0, 20.0, 11.432400000000001, 1651183.0, 4.21183, 822.458, 0.97682, 1.53581, 0.0, 300.0, 11.432400000000001, , , 
NaMajorite, Na(2)Al(2)Si(4)O(12), -5518542.0, 20.0, 11.094000000000001, 1770772.0, 4.11067, 895.914, 1.01424, 1.42169, 0.0, 300.0, 11.094000000000001, , , 
Quartz, Si(1)O(2), -858853.3999999999, 3.0, 2.367003, 495474.3, 4.33155, 816.3307, -0.00296, 1.0, 0.0, 300.0, 2.367003, 847.0, 0.1222, 5.164
Coesite, Si(1)O(2), -855068.5, 3.0, 2.0657, 1135856.0, 4.0, 852.4267, 0.39157, 1.0, 0.0, 300.0, 2.0657, , , 
Kyanite, Al(2)Si(1)O(5), -2446058.0, 8.0, 4.4227, 1600000.0, 4.0, 943.1665, 0.9255, 1.0, 0.0, 300.0, 4.4227, , , 
